aX,aY,aZ,label
-2.12,10.56,-6.81,running
1.18,-0.04,-4.48,walking
1.88,-0.36,-1.08,walking
-10.31,17.6,-11.14,running
-1.04,12.98,0.71,running
-2.95,-8.57,6.46,running
16.21,-21.78,0.79,running
4.84,0.86,-2.61,walking
-3.56,5.34,-16.4,running
2.54,-1.92,-2.26,walking
0.01,0.01,-0.09,resting
-0.01,-0.01,-0.05,resting
-0.8,-2.31,8.96,walking
-3.12,-4.8,-2.03,walking
3.05,10.47,-11.56,running
8.3,4.03,-5.69,running
-5.45,17.23,-5.6,running
-3.64,-2.24,-12.3,running
-2.3,-3.83,-0.23,walking
0.76,9.02,-9.13,running
0.0,-0.01,0.0,resting
-3.46,0.29,5.58,walking
-3.6,11.43,-5.57,running
5.05,-6.47,-0.37,running
-0.02,-0.01,-0.1,resting
-0.02,-0.01,-0.04,resting
6.2,-11.86,-5.38,running
-0.43,-0.56,0.86,walking
2.56,1.7,-2.97,walking
0.03,-0.01,-0.07,resting
-1.81,-4.89,0.69,walking
-0.01,0.01,-0.09,resting
0.01,0.0,-0.04,resting
-0.6,0.01,-3.56,walking
-1.32,12.5,-5.66,running
-0.07,14.09,2.57,running
-3.29,-1.2,-5.1,walking
4.01,-5.01,3.79,walking
-1.59,-2.64,-0.11,walking
0.0,0.01,-0.02,resting
0.02,0.01,-0.03,resting
-7.8,7.54,0.87,running
-1.05,-1.26,2.67,walking
0.02,-0.61,-2.42,walking
0.03,-0.02,-0.03,resting
-1.72,-0.65,-1.6,walking
3.73,0.96,2.61,walking
5.53,0.37,-7.12,walking
0.0,0.01,-0.04,resting
2.03,-1.26,2.53,walking
-2.87,-1.09,0.36,walking
0.44,-3.1,-0.91,walking
3.18,2.47,-3.06,walking
0.01,-0.01,-0.03,resting
-2.83,-1.96,1.16,walking
-0.03,0.03,-0.12,resting
-5.03,7.32,-17.65,running
0.01,-0.02,-0.04,resting
14.89,-11.3,-4.88,running
0.37,-9.48,7.26,running
0.05,-0.06,0.12,resting
0.82,-0.17,4.07,walking
-1.05,1.58,3.22,walking
0.02,-0.01,-0.05,resting
-1.44,-11.04,-0.29,running
0.0,0.0,-0.05,resting
0.06,-15.21,8.8,running
0.0,0.0,-0.06,resting
2.36,0.69,-4.29,walking
-5.56,10.01,-1.3,running
0.02,-0.02,-0.06,resting
1.37,2.21,4.44,walking
-2.44,-2.49,11.84,walking
-1.59,1.68,-0.07,walking
12.05,8.95,-16.28,running
-5.14,-2.61,-10.78,running
2.54,0.56,0.74,walking
0.04,-0.03,0.08,resting
0.84,-0.37,-2.43,walking
28.38,-29.99,-0.24,running
3.41,-9.93,15.4,running
6.37,-4.69,5.39,running
1.15,4.46,-1.53,walking
0.29,13.12,-0.37,running
2.4,-1.76,3.09,walking
0.0,-0.01,-0.09,resting
-3.9,11.79,-3.16,running
0.12,2.19,1.38,walking
0.0,-0.03,-0.03,resting
-1.6,-2.32,-3.03,walking
0.03,-0.03,0.08,resting
1.38,0.77,-0.66,walking
1.12,0.31,-0.94,walking
3.17,3.83,-1.13,walking
-0.03,-0.02,-0.13,resting
-8.62,18.28,-3.85,running
-1.83,11.98,-2.4,running
-1.23,3.04,2.24,walking
-0.01,0.01,-0.01,resting
0.01,0.01,-0.07,resting
-2.62,9.58,-2.02,running
-2.14,15.85,-0.58,running
-7.18,-31.35,2.61,running
-4.26,13.22,-0.72,running
-1.32,0.36,0.55,walking
1.2,-1.0,-0.14,walking
6.83,-33.22,6.18,running
6.26,-3.51,-3.78,walking
1.07,0.9,-0.83,walking
0.85,-0.25,2.63,walking
3.58,-1.31,-3.67,walking
-0.01,0.02,-0.04,resting
1.36,0.47,-2.0,walking
-5.24,8.23,-14.66,running
-0.57,-0.87,-0.31,walking
-9.89,10.76,-3.71,running
-1.22,-1.08,-2.32,walking
0.56,-14.21,26.77,running
1.7,2.36,3.26,walking
6.01,0.15,-4.1,walking
-5.62,8.29,-0.08,running
-1.12,14.97,-0.58,running
-2.28,-1.87,0.36,walking
-0.84,0.59,0.69,walking
0.01,-0.01,0.06,resting
-0.04,-2.77,-4.89,walking
-3.12,-2.71,-0.32,walking
-1.96,-0.21,4.67,walking
-2.44,13.52,-1.83,running
0.0,-0.01,-0.1,resting
0.13,-2.02,5.04,walking
0.01,0.9,0.45,resting
-0.42,0.54,-2.97,walking
-1.14,-0.8,1.97,walking
-2.21,-5.02,3.14,walking
-4.6,8.51,-0.41,running
-0.03,0.02,-0.04,resting
-4.83,2.08,5.16,walking
-1.45,-0.75,-4.4,walking
0.9,-30.85,-0.72,running
-4.2,6.64,1.5,running
-1.3,-1.83,-0.52,walking
-7.7,-8.39,6.63,running
-1.67,-1.62,-1.95,walking
-0.01,0.01,-0.08,resting
-0.36,-0.57,-1.08,walking
-3.4,4.47,1.38,walking
-5.09,2.62,3.3,walking
5.32,1.25,-5.77,walking
-0.76,-4.28,8.69,running
0.01,-0.01,-0.05,resting
0.07,-0.04,0.15,resting
2.16,-0.94,0.08,walking
0.01,-0.02,0.0,resting
-0.02,0.01,-0.08,resting
-1.68,-2.8,4.12,walking
-4.13,2.94,1.08,walking
-2.61,-1.92,7.5,walking
0.0,-0.03,-0.04,resting
6.92,-15.33,12.15,running
4.34,2.25,-6.62,walking
5.5,-31.53,5.8,running
0.85,-0.25,-0.52,walking
0.0,0.0,-0.08,resting
1.06,0.82,-0.79,walking
1.73,1.23,-4.29,walking
0.0,-0.01,-0.05,resting
7.48,-3.76,1.82,running
-0.11,-9.33,6.58,running
-2.7,-0.97,2.23,walking
0.0,-0.01,-0.07,resting
-0.46,15.59,-0.14,running
-4.22,8.81,-0.23,running
0.02,0.0,-0.02,resting
-0.27,-24.16,9.24,running
-3.23,14.84,-3.91,running
32.11,-30.74,-0.43,running
0.03,-0.03,0.11,resting
-6.73,1.28,1.07,running
2.19,6.99,-1.02,walking
-2.09,-4.93,1.38,walking
0.0,-0.01,-0.02,resting
0.55,4.41,-0.9,walking
-0.03,0.02,-0.07,resting
-1.35,3.43,-1.51,walking
0.75,1.32,-3.04,walking
-0.05,0.05,-0.25,resting
1.69,-11.22,6.75,running
1.1,-2.13,0.5,walking
-2.38,-0.65,4.53,walking
0.77,-0.94,2.72,walking
-6.83,17.54,-5.57,running
30.54,-29.8,-3.49,running
1.51,1.92,-2.27,walking
0.02,-0.02,0.02,resting
0.04,-0.05,0.06,resting
-0.02,-0.01,-0.05,resting
-0.09,-1.28,-2.03,walking
-4.89,-11.81,25.1,running
-5.16,9.32,1.79,running
-1.74,-6.48,3.11,walking
0.02,0.0,-0.01,resting
2.84,0.51,5.08,walking
4.04,-10.2,7.66,running
0.0,0.03,-0.05,resting
0.51,-0.23,0.98,walking
-0.01,0.03,-0.08,resting
-3.95,-2.7,5.09,walking
-10.96,11.67,0.95,running
0.0,-0.01,-0.04,resting
0.03,0.01,-0.03,resting
1.06,0.13,-0.84,walking
-2.83,-4.89,-0.15,walking
1.8,-30.34,9.23,running
-8.37,-5.22,-9.22,running
2.08,-31.76,4.92,running
0.01,0.0,-0.05,resting
-0.26,-0.52,0.06,walking
-1.59,0.97,2.28,walking
-1.16,-0.23,-1.82,walking
-0.01,-0.02,-0.09,resting
6.51,1.97,1.0,running
28.65,-25.96,-1.84,running
0.84,-0.92,-0.02,walking
1.91,4.04,-2.29,walking
-1.41,-3.07,4.68,walking
5.6,0.85,-7.67,walking
-6.3,3.93,-20.49,running
-0.01,0.01,-0.07,resting
-0.01,-0.03,-0.06,resting
0.02,-0.02,-0.01,resting
0.74,0.02,1.1,walking
8.04,-9.21,2.64,running
1.37,-1.01,-3.77,walking
-0.02,0.02,-0.12,resting
-5.67,1.33,-5.28,walking
-1.25,0.18,1.53,walking
-1.12,-1.12,4.91,walking
0.0,0.01,-0.05,resting
8.19,-5.99,-3.08,running
-4.81,14.8,-5.46,running
0.02,0.0,-0.05,resting
